Date,CNP16OV,FEDFUNDS,GDPC96,GDPDEF,BLS_WAGE,gdpr,gdpr_growth,pop_growth,pop_growth_smooth,gdpr_growth_pcap,mu_y,mu_w,mu_pi,mu_r
1/1/1947,,,2182.681,11.141,3.13,7.688309217,,,,,,,,
4/1/1947,,,2176.892,11.299,3.221,7.68565345,-0.265576624,,,,,2.86588658,5.63289166,
7/1/1947,,,2172.432,11.489,3.269,7.683602556,-0.205089415,,,,,1.479225739,6.670331858,
10/1/1947,,,2206.452,11.772,3.39,7.699141075,1.553851826,,,,,3.634579365,9.7335098,
1/1/1948,102690.6667,,2239.682,11.865,3.435,7.71408917,1.494809592,,,,,1.318700428,3.147623807,
4/1/1948,102915.3333,,2276.69,11.972,3.473,7.730477913,1.638874226,0.21854105,,1.420333176,,1.100184809,3.591080041,
7/1/1948,103249,,2289.77,12.193,3.568,7.736206655,0.572874208,0.323690284,,0.249183924,,2.698644096,7.316570635,
10/1/1948,103417.6667,,2292.364,12.23,3.643,7.737338878,0.113222367,0.163225843,,-0.050003476,,2.080230331,1.211973248,
1/1/1949,103584.3333,,2260.807,12.165,3.57,7.723477108,-1.386177031,0.161029075,,-1.547206106,,-2.024192223,-2.131589385,
4/1/1949,103838,,2253.128,12.043,3.536,7.720074752,-0.340235622,0.244589663,,-0.584825285,,-0.956945102,-4.031759183,
7/1/1949,104127.3333,,2276.424,11.988,3.584,7.73036107,1.028631768,0.278251683,,0.750380085,,1.348335034,-1.83097153,
10/1/1949,104427.6667,,2257.352,11.989,3.618,7.721947724,-0.841334574,0.288013753,,-1.129348327,,0.944189186,0.033365308,
1/1/1950,104733.3333,,2346.104,11.97,3.744,7.760511359,3.856363511,0.292279043,0.246202549,3.564084468,3.610160962,3.423317164,-0.634417262,
4/1/1950,105020.3333,,2417.682,12.011,3.789,7.790564509,3.005314987,0.273654505,0.253091731,2.731660482,2.752223256,1.194757342,1.367750801,
7/1/1950,105248.3333,,2511.127,12.272,3.856,7.828486935,3.792242646,0.216865492,0.239738632,3.575377154,3.552504014,1.752824471,8.598939221,
10/1/1950,104982.3333,,2559.214,12.502,3.927,7.847455459,1.896852374,-0.253055509,0.187703463,2.149907883,1.709148911,1.824539885,7.427354754,
1/1/1951,104692.3333,,2593.967,12.953,4.063,7.860943643,1.348818405,-0.276619193,0.13299743,1.625437598,1.215820975,3.404584141,14.17551602,
4/1/1951,104506.6667,,2638.898,13.039,4.18,7.878116685,1.717304162,-0.177502488,0.080235911,1.894806651,1.637068252,2.838962953,2.646977957,
7/1/1951,104542.6667,,2693.259,13.047,4.241,7.898507263,2.03905787,0.034441631,0.049759654,2.004616239,1.989298216,1.448784396,0.245342337,
10/1/1951,104746.6667,,2699.156,13.196,4.296,7.900694411,0.218714708,0.194945496,0.038126122,0.023769212,0.180588585,1.288526671,4.542212433,
1/1/1952,104863.3333,,2727.954,13.19,4.328,7.911307157,1.061274612,0.111317856,0.015505974,0.949956756,1.045768638,0.742118434,-0.181914655,
4/1/1952,105006.6667,,2733.8,13.206,4.411,7.913447862,0.214070507,0.136592515,-0.001626775,0.077477992,0.215697282,1.899587958,0.484922017,
7/1/1952,105342.6667,,2753.517,13.354,4.485,7.920634283,0.718642093,0.319468838,0.011198643,0.399173254,0.707443449,1.663707439,4.457877465,
10/1/1952,105703,,2843.941,13.39,4.588,7.952946045,3.231176264,0.34147461,0.085514908,2.889701654,3.145661355,2.270570376,1.076877707,
1/1/1953,106672,,2896.811,13.393,4.668,7.971365756,1.841971046,0.912543119,0.234160197,0.929427927,1.607810849,1.728651516,0.089609081,
4/1/1953,106904.6667,,2919.206,13.42,4.713,7.97906694,0.770118474,0.217876571,0.28358258,0.552241903,0.486535894,0.959393352,0.805579655,
7/1/1953,107139.6667,,2902.785,13.476,4.783,7.9734259,-0.564104051,0.219580767,0.306724971,-0.783684818,-0.870829023,1.474331676,1.6656776,
10/1/1953,107503.3333,,2858.845,13.501,4.78,7.958172976,-1.525292387,0.338857559,0.324713979,-1.864149946,-1.850006367,-0.062741819,0.741372492,
