logAggregateConsumptionObserved,logAggregateInvestmentObserved
-0.066801,-0.18259
-0.075591,-0.19451
-0.069157,-0.15694
-0.058593,-0.1236
-0.054381,-0.037977
-0.042237,0.01125
-0.041678,0.016917
-0.027677,0.030297
-0.022587,-0.0081972
-0.031214,-0.025628
-0.03668,-0.044161
-0.034826,-0.063026
-0.034918,-0.088226
-0.037283,-0.098792
-0.029639,-0.085673
-0.042307,-0.17522
-0.057512,-0.25473
-0.054599,-0.28462
-0.042606,-0.22022
-0.035094,-0.14794
-0.028281,-0.10444
-0.02618,-0.039075
-0.028472,-0.11538
-0.02842,-0.092907
-0.03206,-0.0066653
-0.027332,-0.11405
-0.039325,-0.12614
-0.044751,-0.2531
-0.044986,-0.23703
-0.037791,-0.17885
-0.043166,-0.11353
-0.035801,-0.10667
-0.033664,-0.063703
-0.035796,-0.081171
-0.03417,-0.073869
-0.034711,-0.11311
-0.035377,-0.071383
-0.038098,-0.065147
-0.035126,-0.044368
-0.042523,-0.041846
-0.031676,-0.014654
-0.018901,-0.027811
-0.0056842,-0.014288
-0.0099101,-0.014382
-0.0065226,0.067139
-0.0031387,0.060215
0.0055971,0.084893
0.035908,0.081945
0.03703,0.14926
0.040327,0.1248
0.041356,0.10785
0.032457,0.10414
0.0375,0.069748
0.038786,0.023351
0.031715,0.042705
0.030112,0.054498
0.043472,0.064802
0.049555,0.092791
0.059231,0.055592
0.053327,0.056864
0.058236,0.10453
0.05432,0.089076
0.051918,0.099628
0.05247,0.040592
0.054884,0.00076444
0.048129,-0.0066133
0.04916,-1.63E-05
0.054623,-0.064118
0.05258,0.036609
0.048735,0.055042
0.040559,0.057554
0.041217,0.020709
0.038382,0.074974
0.058928,0.12067
0.066491,0.12523
0.079071,0.12193
0.078949,0.16933
0.064327,0.20153
0.062882,0.15505
0.052798,0.1805
0.033165,0.11215
0.020385,0.098602
0.016412,0.035835
-0.0077281,0.032339
-0.01194,-0.15285
0.0038406,-0.19262
0.0074523,-0.1275
-0.0011297,-0.10952
0.012813,-0.026954
0.021927,0.0023149
0.02344,-0.0037524
0.027773,-0.0058444
0.020994,0.029901
0.014782,0.089593
0.013597,0.12941
0.02872,0.094456
0.026858,0.10421
0.028399,0.15759
0.030002,0.17677
0.036688,0.19009
0.034966,0.18221
0.026904,0.17176
0.03242,0.14521
0.031549,0.11773
0.024935,0.10128
0.0051718,0.0028807
-0.0034018,-0.074876
-0.0056281,0.0048119
-0.002964,0.083966
-0.0046569,0.032032
-0.0085748,0.077033
-0.010876,0.031113
-0.015153,-0.082249
-0.023016,-0.093074
-0.02489,-0.11211
-0.020794,-0.20215
-0.023695,-0.17747
-0.018123,-0.10204
-0.0091553,-0.050786
-0.0031611,0.032521
-0.0067587,0.11519
0.0087334,0.13761
0.0033701,0.14946
0.0049112,0.12685
0.0048695,0.089512
0.0065151,0.09686
0.0085669,0.080476
0.011322,0.10712
0.017791,0.097281
0.020526,0.070119
0.016472,0.033303
0.018448,0.026744
0.013628,0.043826
0.015102,0.0348
0.0097949,0.0254
0.0048806,0.081769
0.0094818,0.023034
0.01127,0.037033
0.012021,0.033033
0.016258,0.038643
0.014643,0.062369
0.010041,0.043177
0.013893,0.02471
0.019032,0.0078231
0.011595,0.0080126
0.0065752,-0.0011737
0.002062,-0.03043
-0.014153,-0.097286
-0.019815,-0.14067
-0.02008,-0.15015
-0.024528,-0.14001
-0.039287,-0.11469
-0.030643,-0.1428
-0.032571,-0.097191
-0.032757,-0.098711
-0.02892,-0.078099
-0.034043,-0.064445
-0.032245,-0.068339
-0.028535,-0.084647
-0.027723,-0.043076
-0.020562,-0.014783
-0.018801,0.02352
-0.016349,-0.0026245
-0.011917,0.028126
-0.014471,0.029306
-0.015686,-0.0011797
-0.018269,-0.016677
-0.019263,-0.0016453
-0.018938,0.0039919
-0.012297,0.041753
-0.011328,0.077233
-0.0093948,0.067372
-0.0094595,0.079174
-0.015031,0.12338
-0.0052025,0.13158
-0.0043269,0.1361
-0.0032943,0.17011
0.0026153,0.15378
0.003651,0.17059
0.010977,0.18886
0.023085,0.2074
0.026212,0.19874
0.024697,0.21392
0.038729,0.23331
0.0238,0.21471
0.037384,0.2632
0.037823,0.24103
0.041269,0.23208
0.029157,0.17539
0.027678,0.16225
0.026178,0.13477
0.02848,0.074926
0.026049,0.10044
0.020419,0.10089
0.016742,0.09121
0.023564,0.079881
0.024286,0.078773
0.025422,0.074484
0.037643,0.099687
0.038415,0.12482
0.039819,0.11585
0.036779,0.14143
0.038368,0.14716
0.041211,0.15759
0.047871,0.17611
0.046075,0.15378
0.042157,0.15458
0.052946,0.1746
0.055045,0.17819
0.052221,0.16209
0.051087,0.14229
0.061518,0.10878
0.05743,0.089991
0.04932,0.094059
0.044552,0.078292
0.037637,0.04864
0.026014,0.0048343
0.026867,-0.022689
0.0074547,-0.060477
-0.013981,-0.16314
-0.019381,-0.29512
-0.032769,-0.36702
-0.035156,-0.38532
-0.03624,-0.31765
-0.034095,-0.29523
-0.035482,-0.25439
-0.035347,-0.23196
-0.028765,-0.2505
-0.030196,-0.27879
-0.036094,-0.25047
-0.044808,-0.25728
-0.049782,-0.19717
-0.050837,-0.18346
-0.056076,-0.16879
-0.059913,-0.18121
-0.066804,-0.19878
-0.061197,-0.19106
-0.065526,-0.18788
-0.065881,-0.16539
-0.065553,-0.16457
-0.07064,-0.18039
-0.068377,-0.16034
-0.068517,-0.15212
-0.066891,-0.15645
-0.071294,-0.14539
-0.066972,-0.14281
-0.063328,-0.15318
